Cash,GNI,sca_cpi,id_1,Country,id
2.09,17250,14.10528926,ARG,Argentina,32
4.15,44570,2.492621943,AUS,Australia,36
3.44,15020,11.02331564,BRA,Brazil,76
3.74,43970,2.111585993,CAN,Canada,124
3.64,21740,3.509171279,CHL,Chile,152
9.34,14160,11.46756433,CHN,China,156
6.79,13520,11.46756433,COL,Colombia,170
3.28,47810,1.450006871,DNK,Denmark,304
14.65,57860,2.914301478,HKG,Hong Kong,344
12.51,6020,11.02331564,IND,India,356
4.07,10680,11.93649336,IDN,Indonesia,360
5.66,34940,4.825686761,ISR,Israel,376
18.61,38870,2.914301478,JPN,Japan,392
5.41,34700,5.739933189,KOR,Korea (Republic of),410
5.76,17150,12.4322183,MEX,Mexico,484
2.29,35680,1.684002613,NZL,New Zealand,554
1.53,5800,18.60971152,NGA,Nigeria,566
1.45,64590,1.765587723,NOR,Norway,578
9,23790,16.1245134,RUS,Russian Federation,643
8.46,81190,1.934516253,SGP,Singapore,702
3.42,12830,8.781880965,ZAF,South Africa,710
1.8,47390,1.604251368,SWE,Sweden,752
11.14,61930,1.849069784,CHE,Switzerland,756
11.37,15210,11.02331564,THAI,Thailand,764
4.7,19360,9.457869291,TUR,Turkey,792
4.07,40550,2.297399693,UK,United Kingdom of Great Britain and Northern Ireland,826
7.38,56430,2.804720577,US,United States of America,840
