Cash,GNI,sca_cpi,Country,id
18.61,38870,2.914301478,JAPAN,JPN
14.65,57860,2.914301478,HONG KONG,HKH
12.51,6020,11.02331564,INDIA,IND
11.37,15210,11.02331564,THAILAND,THAI
11.14,61930,1.849069784,SWITZERLAND,CHE
9.34,14160,11.46756433,CHINA,CHN
9,23790,16.1245134,RUSSIA,RUS
8.46,81190,1.934516253,SINGAPORE,SGP
7.38,56430,2.804720577,UNITED STATES,US
6.79,13520,11.46756433,COLUMBIA,COL
5.76,17150,12.4322183,MEXICO,MEX
5.66,34940,4.825686761,ISRAEL,ISR
5.41,34700,5.739933189,KOREA,KOR
4.7,19360,9.457869291,TURKEY,TUR
4.15,44570,2.492621943,AUSTRALIA,AUS
4.07,40550,2.297399693,UNITED KINGDOM,UK
4.07,10680,11.93649336,INDONESIA,IDN
3.74,43970,2.111585993,CANADA,CAN
3.64,21740,3.509171279,CHILE,CHL
3.44,15020,11.02331564,BRAZIL,BRA
3.42,12830,8.781880965,SOUTH AFRICA,ZAF
3.28,47810,1.450006871,DENMARK,DNK
2.29,35680,1.684002613,NEW ZEALAND,NZL
2.09,17250,14.10528926,ARGENTINA,ARG
1.8,47390,1.604251368,SWEDEN,SWE
1.53,5800,18.60971152,NIGERIA,NGA
1.45,64590,1.765587723,NORWAY,NOR
